A.A. TRAVEL ACCOMMODATION ABROAD|||||32, Omirou Street, 171 21 N.Smyrni, Athens Tel 210-9344454, 9344827, 9344172, Fax: 210-9353424 Manager: Eleftheria Kouni [mappress] 
GOLDAIR S.A.|||||1st Km Peanias – Markopoulou Avenue, P.O.Box 126, 190 02 Peania Managing Director: K. Tsovilis Travel & Incentives Dept manager: S. Giannakos Airlines & Ferry Reservations Tel 2103274560, Fax 2103216801 e-mail: incentives@goldair.gr Congress dept manager: P. Georgakopoulos Tel 2103274570, Fax 2103311021 e-mail: congress@goldair.gr Member of: IATA (code 27-2 1336), ASTA, HATTA, SITE, UFTAA, MITA, ISO 9001, HAPCO Web site: www.goldair.gr 
GOLDEN TRAVEL|||||331, Kifissias Avenue, 145 61 Athens Tel (210) 8002497, Fax (210) 6253647 Manager: Evangelos Leousis Member of: IATA (code 27-2 1050), HATTA 
GOLDEN WAY TOURS Ltd|||||56, Perikleous Street, 155 61 Holargos Tel (210) 6526611-12, Fax (210) 6522444 Owner: Ilias Grozdanovic, General Manager: Mrs Dragana Grozdanovic Branch offices in: Platamonas, Nei Pori- Pierias Member of: IATA (code 27-0 0146), HATTA GDS: Sabre 
GOLF TRAVEL TOURISM Ltd|||||3, Korai St, 105 64 Athens, Tel (210) 3225751-4, Fax (210) 3254901 Owners/Managers: Ms Litsa Magou Member of: IATA (code 27-2 6210), HATTA, GDS: Galileo 
G. O. TOURS (GREEK ORGANIZED TOURS|||||20, Ath. Diakou & 1, Syngrou Avenue, 117 43 Athens Tel (210) 9219555, Fax (210) 9215619 Manager: Apostolos Zachos Member of: GITO, HATTA 
G. R. TOURS S.A.|||||1, Achilleos St.,175 62 P. Phalero, Tel (210)9889275, Fax (210)9815871 Owner/Manager: Christos Chatzikonstandinou Member of:  HATTA 
G & T TRAVEL AND TOURISM|||||28, Samou, 104 38 Athens, Tel (210) 8210980, Fax (210) 8210984 Manager: Anna Manolakou Member of: HATTA 
GRAPSAS TOURS|||||168, Petroupoleos St., 132 31 Petroupolis Tel (210) 5010783, Fax (210) 5013960 Owner: Ms Paraskevi Grapsa, Manager: Sp. Grapsas 
GRECIA TURISMO TERRA DOS DEUSES|||||20, A. Metaxa Street, 166 74 Glyfada Tel (210) 8985530-4, Fax (210) 8981666 Owner/Manager: Mrs Artemis Nikolaidi Member of: IATA (code 27-2 1170) 
GRECIAMO INSIEME-ITALTOUR|||||5, Apollonos Street, 105 57 Athens Tel (210) 3216237, 3216241, 3216249,  3216255, Fax (210) 3250978 Owner/Manager: George Mathioudakis Member of: GITO, HATTA 
GRECIAN TRAVEL Ltd|||||17a, Filellinon Street, 105 57 Athens Tel (210) 3717000, Fax (210) 3234543, 3246640 Owner/Manager: Paul Dinapoyias Member of: HATTA, IATA (code 27-2 3533) GDS: Sabre, Galileo, Amadeus 
GRECITOUR HOLIDAYS|||||2, Agias Varvaras, 166 74 Glyfada Tel (210) 8945383, Fax (210) 8945637 Owner/Manager: Stavros Dirmikis Vat Reg No: 017954280, DOY: GLYFADA Member of: HATTA 
GREECE A LA CARTE|||||265, Kifissias Ave., 145 61 Kifissia Tel (210) 6236670, Fax (210) 6236679 Manager: Christos Katsavas Member of: HATTA
GRECO TOURS|||||10, Stadiou Street, 105 64 Athens Tel (210) 3228006, 3225020, Fax (210) 3255462 Owner: G. Alexopoulos, Manager: Th. Alexopoulos 
GREEK COLLECTION|||||13, Adrianou Street, 153 42 Agia Paraskevi Tel 2106019080, Fax 2106019081 Manager: Miltiadis Stouraitis Member of: HATTA
GREEK SUN HOLIDAYS APERGI TOURS|||||48, Stadiou Street, 105 64 Athens Tel (210) 3242142, 3218165, 3213050, Fax (210) 3215326 Owner: Mrs I. Apergi, Manager: A. Apergis Branch office in: Andros, Member of: HATTA, PAT E-mail: greeksun@travelling.gr Web site: www.greecsun.gr
GRIFFIN TRAVEL MARINE S.A.|||||314, Syngrou Avenue, 176 73 Kallithea Tel (210) 9231100, Fax (210) 9231065 Owner: Griffin Travel Marine S.A. Vat Reg No: 09433389, DOY: FAE PIRAEUS Manager: Mr. G. Theodorou Member of: IATA (code 27-2 8057), ASTA, SETE, HATTA, PETAGA GDS: Amadeus 
GROUP SCAPE|||||9, Lembesi St., 117 42 Koukaki, Tel (210) 3249411-5, Fax (210) 9227999 Owners: J. Petropouleas, Manager: G. Sifianos Branch office in: New York (Astoria) Member of: IATA (code 27-2 8030), HATTA, GDS: Amadeus, Sabre 
G.S.S. GLOBAL SUPPORT IN CONGRESS & TOURS|||||20, Nikis Street, 105 57 Athens Tel 2103220920, Fax 2103227280 Manager: Konstantinos Stratos Member of: HATTA, HAPCO 
GULLIVER TRAVEL|||||5, Apollonos Street, 105 57 Athens Tel (210) 3237640, 3227539, Fax (210) 3233718 Owner/Manager: Theofanis Stavropoulos Member of: HATTA 
HELIADES EN GRECE HARITOU TRAVEL GROUP|||||33, Dionisiou Areopagitou Street, 117 42 Athens Tel (210) 9248990-1, Fax (210) 9234017 Owner/Managing Director : P.A. Haritou Manager Group department: Ms Calliopi Karoulia Charter flights: Ms Nathalie Barillot 
HELLAS FERRIES CENTER|||||14, Xenofontos & Nikis Streets, 105 57 Athens Tel (210) 3315905-6,  Fax (210) 3315907 VAT 095781368, D’ ATHENS Owner/Managing Director: Panos Skondras
HELLAS VACANCES|||||37, Ag. Pavlou Street, 104 38 Athens Tel (210) 9235638, 9247240, Fax (210) 9243280 Owner/Manager: Dim. Lambropoulos Member of: ASTA, GITO, HATTA 
HELLENIC TOURS S.A.|||||4, Priinis St., 171 22 N. Smyrni Tel (210) 9477000, Fax (210) 9401120 Owner: Hellenic Tours S.A., VAT 094004361 (FAEE Piraeus) Managing Director George Georgopoulos General Manager Stelios Gritsopoulos, Development Director Emm. Iatrou Member of: IATA (code 27-2 1855), ASTA, COTAL, HATTA, PETAGA, UFTAA
HELLENIC VISION TRAVEL|||||26, Lembessi & Kallirois Streets, 117 43 Athens Tel (210) 9218853-4, Fax (210) 9218666 Owner: E. Trigakis-N. Bacopoulou, Manager: Ms Nikie Bacopoulou Member of: HATTA 
HELLENORAMA TOURIST ENT. Ltd.|||||37, Syngrou Avenue, 117 43 Athens Tel (210) 9230014, 9231214, Fax (210) 9224263 Owner/Manager: E. Maccar
HELLO TRAVEL|||||86, Solonos Street, 106 80 Athens Tel (210) 3604450, 3603580, Fax (210) 3611742 Owner: Hellenic Organization of Travel Ltd Manager: Dimitris Tsalapatis Member of: HATTA, ASTA   GDS: Galileo
HELMAR TRAVEL SERVICE|||||9, Propyleon Street, 117 42 Athens Tel (210) 9220708, 9220788, Fax (210) 9241936 VAT 095534984, E’ ATHENS Owner: Emm. Flourakis, Manager: Ms Helen Marianou 
HERAKLIO TRAVEL|||||3, S. Karageorgi Street, 141 21 N. Heraklio, Tel (210) 2759577-9,  Fax (210) 2772040 Owner/Manager: V. Rigas Member of: IATA (code 27-2 1097) GDS: Amadeus
HERMES EN GRECE|||||4, Zalogou Street, 153 43 Ag. Paraskevi Tel (210) 6072150, 6072000, 6072180-5, Fax (210) 6072158, 6072159, 6072186 Owner/Manager: Constantinos Chr. Koulouvatos Member of: AFTA, IATA (code 27-2 1857), COTAL, DER, DRV,HATTA UFTAA, USTOA GDS: Galileo 
HERMES TRAVEL|||||19, Apollonos Street, 105 57 Athens Tel (210) 3222766, 3235514-6, Fax (210) 3232073, 3211800 Owner: G. Papadakis & Mrs D.Stathopoulou Member of: HATTA, GDS: Sabre 
HERONIA TRAVEL S.A|||||8, Fokionos & 34, Ermou Streets, 105 63 Athens Tel (210) 3747000, Fax (210) 3251831 Owner: Heronia A.E.T.E.., President : John Trentzos Managing Director: Mrs Helen Trentzos Member of: IATA (code 27-2 0091), HATTA Branch offices in: Glyfada:34, I. Metaxa Street, 166 74 Glyfada, Tel 8942817, 8946885, Fax 8943066 Thessaloniki: 20, Kalapothaki Street, 546 24 Thessaloniki, Tel (2310) 240912, Fax (2310) 232960 
HETCO TOURS S.A.|||||72, Ag. Paraskevis Street, 152 32 Halandri Tel (210) 6828748, 6828169, Fax (210) 6828246 Owner/Manager: Alexandros Messaris Member of: IATA (code 27-2-9227), GUATA/PETAGA, HATTA GDS: Galileo 
HIMALAYA TRAVEL|||||4, Filellinon Street, 105 57 Athens Tel (210) 3225159, 3225054, Fax (210) 3251474, Owners: G. Dimopoulos, A. Narlian, Manager: George Dimopoulos Member of: IATA (code 27-2-0158), HATTA, GUATA/PETAGA GDS: Worldspan 
HOLIDAYS CENTER|||||43, Mitropoleos St., 151 24 Maroussi Tel (210) 6140225, Fax (210) 6141052 Owner/Manager: Albertos Gyllos S.A 
HOLIDAY MALTA HELLAS|||||91, Alexandras Ave, 114 74 Athens Tel (210) 6411778, 6411958, Fax (210) 6411825 Owner: Holiday Malta Hellas LTD, Manager: C. Moschidis GDS: Worldspan, IATA (27-2 1304)
HOLIDAYS SYSTEM|||||25, Neofronos St., 161 21 Athens Tel (210) 7238236, Fax (210) 7239340 Owner/Manager: A. Tsafos Member of: HATTA, GITO 
HOMERIC TOURS Ltd (Est. 1972)|||||2, Karag. Servias Street, 105 62 Athens Syntagma Square Tel (210) 3230876-8, 3214777-8, 3216739, Fax (210) 3218591 Owner: Homeric Tours Ltd, Managing Director: Ms Pat. Kontozissis Member of: IATA (code 27-2 2219), PAT, HATTA
HOP IN SIGHTSEEING|||||44, Amalias Avenue, 105 58 Athens Tel (210) 4285500, Fax (210) 4513993 Owner/Managing Director: Manos Tassopoulos http://hopin.com 
HORIZON TRAVEL S.A.|||||Head office: 50, Praxitelous Street, 176 74 Kallithea Tel (210) 9470700, Fax (210) 9429600 President: A. Tsaldaris,   Executive Vice President: Aristidis G. Tsaldaris Member of:  HATTA
HOTACC – HOTEL ACCOMMODATION SERVICES|||||2, Nikis St., 105 62 Athens, Tel (210) 3241594-5, Fax (210) 3242844 Managing Director: Vassilis Tzovaras Member of: HATTA E-mail: hotacc@travelling.gr 
HRG GREECE|||||49, Vouliagmenis Avenue, 116 36 Athens Tel 2109223300, Fax 2109215889 Manager: Athanasios Zagogiannis Member of: HATTA 
HUMAN HOLIDAYS|||||45-47, Pavlou Mela Street, 121 31 Peristeri Tel (210) 5733111, Fax (210) 3240769 Manager: Ioannis Kouvalis Member of: HATTA 
HYDRA TRAVEL|||||54, Gr. Lambraki Avenue, 166 74 Glyfada Tel (210) 9638555, Fax (210) 9638551 Owner/Manager: Evangelos Stavropoulos Member of: IATA (code 27-2 0109), ASTA, HATTA GDS: Sabre, Galileo, Amadeus
HYDROGIOS TRAVEL|||||124, Filolaou Street, 116 33 Athens Tel (210) 7018111, 7018666, Fax (210) 7016115 Owner/Manager: Efstathios Efstathiadis Vat Reg No: 035133122, DOY: IZ’ ATHINON Res. Spv: Ms Penny Metoglou Member of: IATA (code 27-2 1169), HATTA 
IASON TOURS|||||104, Eolou Street, 105 64 Athens Tel (210) 3244633-6, Fax (210) 3210834 Owner/Manager: Vasilia Kourinou Member of: HATTA
IBEROSOL TOURISM ACTIVITIES|||||3, Filellinon Street, 105 57 Athens Tel (210) 3220391-2, Fax (210) 3220397 Manager: Ms Bilio Magli, Operation Manager: Areti Sakellariou 
IDEAL HOLIDAYS|||||6, Kirykeiou Street, 105 55 Athens Tel (210) 3233888, Fax (210) 3233889 Manager: Christos Rombolas Member of: HATTA 
ILIAS TOURS|||||25, Chalkokondili Street, 104 32 Athens, Omonia Sq., Tel (210) 5230613, 5236000, Fax (210) 5236553 Owner/Manager: Ilias Tsagournas Member of: HATTA 
IMAGINATION TRAVEL|||||48, Sarantaporou Street, 121 34 Peristeri Tel (210) 5775777, Fax (210) 5751962 Owner/Manager: Antonis Pappas Vat Reg No: 044076784, DOY: A’ PERISTERI Member of: IATA (code 27-0 0246), HATTA GDS: Galileo 
INCOMING HELLAS|||||7, Exoneon Street, 118 51 Athens Tel (210) 3422068, 3463571, Fax (210) 3423180 Owner: B. Ghionis S.A., Manager: Mrs S. Ghioni Member of: HATTA 
INIOHOS INTERNATIONAL TRAVEL SYSTEM|||||19, Filellinon Street, 105 57 Athens Tel (210) 3226134-5, 3226577, 3228896, Fax (210) 3247503, Owner: International Iniohos Ltd., Office Manager: Ms M. Theodosiou Member of: IATA (code 27-2 1124), HATTA, PETAGA GDS: Pars 
INNOVATION TOURS|||||9, Irinis Av., 163 45 Helioupolis Tel (210) 9955338, Fax (210) 9955978 Owner/Manager: Nikoleta Laskari Member of: IATA (code 27-2 1245) 
INTERAVIATION Ltd|||||74, Ermou Street, 105 51 Athens Tel (210) 3318318, Fax (210) 3318319 Owner: Interaviation Ltd., Manager: N. Nakios, S. Polycratis Member of: IATA (code 27-2 1004), HATTA GDS: Galileo, Worldspan 
INTERCONTACT Ltd – TOURISM TRAVEL|||||4, Ivis Street, 163 46 Athens Tel (210) 9751535 Owner: Gerasimos V. Lagos, Manager: Costas Vassilopoulos Member of: HATTA 
INTERITALIA TOURS|||||10, Afroditis Street, 175 61 Palaio Faliro, Athens, Greece Tel: + 30 210 9850360 Fax: + 30 210 9850331 Mail: info@interitalia.gr Site: www.interitalia.gr Owner: Pavlina Veroniki, VAT 044543065, P. Falirou Manager: Pavlina Veroniki 
INTERMAR CRUISES & TRAVEL|||||57, Erechtiou Street, 117 42 Athens Tel (210) 9249330, Fax (210) 9246992 Owner/Manager: George Vassilakis 
INTERMED TRAVEL CONSULTANTS|||||46, Elef. Venizelou Avenue & 2, Kanakidi Streets, 176 76 Athens Tel (210) 9578441, Fax (210) 9578490 Owner: InterMed Travel Consultants Ltd President & Managing Director: John Casullis Director of Sales & Marketing: Sam Zarifas E-mail: intermed@intermed.gr Web site: www.intermed.gr Member of: ASTA, HATTA, IATA (code 27-2 1060) 
INTERTRANSFER|||||5, Sp. Donta Street, 117 43 Athens Tel (210) 9213276, Fax (210) 9213277 Owner/Manager: I. Meritsis Member of: HATTA 
INTRACO TRAVEL S.A. TRAVEL & TOUR OPERATORS|||||1, Parthenonos Street, 175 62 P. Faliro Tel (210) 9881001,  Fax (210) 9829166 Owner: Intraco Travel S.A. VAT 094030840 (Piraeus) President: Nikolaos Floros, Member of: IATA (code 27-2 7949), ASTA, FIYTO, FUAAV, HATTA 
INVITA DIRECT|||||429, Messogion Avenue, 153 43 Ag.Paraskevi Tel (210) 6071155, Fax (210) 6083800 Manager: Paris Gabriel Member of: HATTA
IONIAN TRAVEL S.A.|||||4, Pireos Street, 104 31 Athens Tel (210) 5239609, 5234774, Fax (210) 5239113 Owner: Ionian Travel S.A., Managing Director: Filippos Christodoulopoulos Excursion Dept Spv: Ms Vivi Mazi Member of: IATA (code 27-2 0191), HATTA GDS: Galileo 
IONION TRAVEL OFFICE|||||64, Panepistimiou & 4, Patission corner, 106 77 Athens Tel (210) 3821362, 3838241, Fax (210) 3829863 Owner: Georgia Santa, Manager: Dim. Santas Member of: IATA (code 27-2 1861)
ION TOURS|||||32, Ag. Kon/nou & 12, Nikiforou Streets, 104 37 Athens Tel (210) 5239333, Fax (210) 5240637 Branch Office: 103031, Moscow Russia, Stoleshnikov Per., 11 Office 440, 442, Tel  (210) 6476287, President: Y. Politis Member of: HATTA
IOS TRAVEL|||||69, Akademias Street, 106 78 Athens, Tel (210) 3301551, 3301639, Fax 3303403 Owner/Manager: Ms Irini-Evridiki Gizeli, Member of: HATTA GDS: Sabre, Galileo 
IPPOCAMPOS TRAVEL Ltd|||||78, Syngrou Ave. & 49, M. Botsari Street, 117 42 Athens Tel (210) 9002600, Fax (210) 9002629 Owner: Ippocampos Travel S.A., Manager: M. Maissis Member of: HATTA, IATA (code 27-2 0031), ASTA 
IRINA G. TOURS|||||88, Dimokratias Ave, 136 71 Menidi, Athens Tel (210) 2460012-3, Fax (210) 2404828 Manager: Ms Marina Karasavidou Member of: IATA (code 27-0 0357) 
IVIS TRAVEL|||||3, Mitropoleos Street, 105 57 Athens, Syntagma Square Tel (210) 3243365, 3243543, Fax (210) 3224205 Owner/Manager: Nikos Antoniou Member of: HATTA, IATA (code 27-2 1175), ASTA E-mail: ivis@travelling.gr
JETATOURS Ltd|||||5, Stadiou Street, 105 62 Athens Tel 3230582-3, Fax 3238216 Owners: Jetatours Ltd., Sp. Spiliotis, Manager: Ms Chr. Spilioti & Dim. Spiliotis 
JOSS TRAVEL BUREAU|||||166, 3rd September Street, 112 51 Athens Tel (210) 8661651, 8676204, Fax (210) 8661986 Owner/Manager: Alexis Amidis Member of: ASTA E-mail: info@josstravel.gr Web site: www.josstravel.gr 
JOY TOURS|||||162, Patission Street, 112 57 Athens Tel (210) 8657400,  8620103, Fax (210) 8628717 Owner/Manager: A. Dimitriou Member of: HATTA, IATA (code 27-2 0991) 
JTB GREECE LTD|||||4, Fillelinon Street, 105 57 Athens Tel (210) 3215824, 3215835,  Fax (210) 3215966 Owner: JTB Greece LTD, Manager: George Karayiannis Member of: HATTA
JURA TRAVEL|||||80, Chr. Smyrnis Street, 162 10 Vyronas Tel (210) 7647835, Fax (210) 7647836 Owner: Kontomichalos Bros Manager: Anastasios Kondomichalos Vat Reg No: 999890637, DOY: Vyrona Member of: HATTA 
JUST TRAVEL|||||5, Iroon Polytechniou St, 135 61 Ag. Anargyri, Tel/Fax (210) 2613156 Owne/Manager: Stefanos Dragatidis 
KACAYIAS BROS|||||3, Stadiou Street, 105 62 Athens Tel (210) 3234120, Fax (210) 3236801 Manager: Aggeliki Kacayia
KADMOS TRAVEL AGENCY|||||34, Nikis St, 105 57 Athens Tel (210) 3236111, 3233618, 3225060, Fax (210) 3225570 Owner/Manager: Asriel Saporta Member of: IATA (code 27-2 3545) GDS: Sabre 
KAI TRAVEL|||||3, Filellinon Street, 105 57 Athens, Tel (210) 3243268, 3243188, Fax  (210) 3243188 Owner: John Bergeles, Manager: Mrs Maria Bergele 
KANALE’S TRAVEL & TOURISM S.A|||||235, P. Tsaldari Street, 176 75 Kallithea Tel (210) 9536329, Fax (210) 9566386 Owner: Kanale’s Travel & Tourism S.A., Manager: Nikolaos Kanales Member of: HATTA
KANINGOS TOURS|||||61, Panepistimiou Avenue, 105 64 Athens Tel (210) 3247129, 3210676, 3210679, Fax (210) 3217012 Owner/Manager: George Baran GDS: Worldspan
KAPA CHANGE|||||Head office in: 39-41, Ag. Konstantinou, 104 37 Athens Tel (210) 5234402, Fax (210) 5247945 Owner: Kapa Fin S.A. Member of: IATA (code 27-0 0569) Branch office: 12, Omonia Sq., 106 74 Athens Tel (210) 3416607, Fax (210) 3316408 
KEFI TOURS LTD|||||267, Kifissias Avenue, 145 61 Athens Tel (210) 6232106, 6232710, Fax (210) 6230789 Owner: Kefi Tours Ltd, Manager: Ms Ioanna Bezantakos Member of: HATTA, IATA (code 27-2 1208), ASTA, SETE 
KENTAVROS-M. TRIVIZAS Ltd|||||180, Syngrou Ave., 176 71 Athens, Tel (210) 9597177, Fax (210) 9597212, Owners/Managers: M. Trivizas Member of: POET, IATA (code 27-2 1027) 
KEY TOURS Ltd|||||4, Kallirois Street, 117 43 Athens Tel (210) 9233166, 9233266, Fax (210) 9232008 Owner: Key Tours Ltd, Manager: Dim. Bistolas Member of: HATTA 
KIPLING EVENTS & TRAVEL|||||18, Digeni Street, 166 73 Voula Tel (210) 8994910, Fax (210) 8994912 Manager: Antzela Kipling Member of: HATTA, SETE 
KITSAKIS TOURS|||||2, Vilara Street, 104 37 Athens Tel (210) 5249878, 5249879 Mobile 6944-320983, 6977-241141, Fax (210) 5249889 Owner/Manager: G. Kitsakis Member of: HATTA 
KIWI TRAVEL SERVICES|||||24, Spefsipou , 106 75 Athens, Tel (210) 7215700, Fax (210) 7233888 Manager: Ekaterini Papaioannou Member of: HATTA 
KLIMATSAKIS TRAVEL|||||2B, Igimonos Street, 157 73 Zografou Tel (210) 7750480, Fax (210) 7751576 Owner/Manager: Pavlos Klimatsakis Member of: IATA (code 27-0 0216) 
KLIRONOMOS TRAVEL|||||49, Pindou Street, 143 42 N. Philadelphia Tel (210) 2584104 (3 lines), Fax (210) 2584679 Owner: K. Klironomos, Manager: Mr George Diamantopoulos Member of: IATA (code 27-0 0806) 
KOKKINOS TRAVEL|||||3, Makedonias Street, 153 41 Ag. Paraskevi Tel (210) 6006585, Fax (210) 6005890 Owner: Margarita Pan. Kokkinou Co.,VAT: 999451721 (Ag. Paraskevi) Managers: Panagiotis Kokkinos, Mrs Margarita Kokkinou Member of: HATTA, Representative in Greece for: Service Reisen Giessen 
KOMPASS TOURS HELLAS S.A.|||||26, Ath. Diakou Street, 117 43 Athens Tel (210) 9216163, Fax (210) 9222934 Owner/Manager: K. Exarchos Member of: HATTA 
KORONA TRAVEL|||||65, Lagoumitzi, 117 44 Athens, Tel (210) 9270772, Fax (210) 9270774 Manager: Yiannis Siamos Member of: HATTA
KOUTSOUKELLIS YACHTING|||||5, Stadiou Street, 105 62 Athens, Tel (210) 3227011, Fax (210) 3228397 Owner/Manager: Ms Irini Antonopoulou Member of: HATTA 
KRITI TRAVEL BUREAU|||||10, Othonos Street, 105 57 Athens Tel (210) 3234000, 3223090, Fax (210) 3230249 Owner/Manager: Ms Anastasia Vodinou Member of: IATA (code 27-2 5429), HATTA
KRITSIA TRAVEL|||||38, Panepistimiou Street, 106 79 Athens Tel (210) 3305215-216, Fax (210) 3305217 Owners: Ms Agathi  Stathopoulou & Ms  Roula Krezia Manager: Ms Roula Krezia Member of: IATA (code 27-2 12824), HATTA GDS: Pars, Sabre 
KRONOS HOLIDAYS LTD|||||424, Herakliou Avenue, 141 22 Neo Heraklio Tel (210) 2826667, 2856036, (211) 2114000, Fax (210) 2856892, 2856807, 2856639 Owner/President: P. Fountas, Vice President: Fay Founta, Sales Manager: A. Sioutos, Financial Manager: Evi Founta Member of: IATA (27 2 00036), HATTA, PETAGA, SETE, IMTG Online bookings at www.airwing.gr E-mail: kronosholidays@kronosholidays.com Web  site: www.kronostravel.com 
KYKLOS TRAVEL|||||23, Nikis Street, 105 37 Athens, Tel (210) 3225802, Fax (210) 3229933 Manager: George Kalabalikis Member of: HATTA 
KYKNOS INTERNATIONAL TRAVEL AGENCY Ltd.|||||292, Kifissias Avenue, Shop. center, 154 51 Psihiko Tel (210) 6713266, 6726139, 6744151, Fax (210) 6726041 Owner: Filimon  & Anna Valsami, Manager: Ms A. Valsami Head office in: Piraeus, Member of: IATA (code 27-2 0252), HATTA, PETAGA GDS: Amadeus, Galileo, Worldspan 
KYRIAKAKIS TOURS|||||12, Omonia Square, 104 31 Athens Tel (210) 3250796, 3219746, Fax (210) 3219746 Owner/Manager: Nikolaos Kyriakakis Head office: in Piraeus 
KYVERNITIS TRAVEL & SHIPPING S.A.|||||139, Vouliagmenis Ave., 16674 Glyfada Tel (210) 9001100, Fax (210) 9223403 Owner/Manager: Christos Kyvernitis Member of : HATTA, ASTA, IATA, PETAGA GDS: Amadeus 
LABEL TRAVEL|||||22, Angelou Metaxa Street, 166 74 Glyfada, Tel (210) 9680490, Fax (210) 9680489 Owner/Manager: Leo C. Antoniades GDS: Amadeus 
LAGHOPOULI BROS PERIIGITIS|||||6, George Street, 106 77 Athens, Kanningos Square Tel (210) 3832274, 3802000, Fax (210) 3838724 Owners/Managers: Lagopouli Bros 
LAGGARIS TOURS|||||66, Ektoros St., 131 22 Ilion, Tel (210) 2611278, Fax (210) 2623579 Manager: Efthymia Laggari   Member of: HATTA 
LA GRECA TRAVEL SERVICE|||||1, Vrasida Street, 115 28 Athens Tel (210) 7258759, 7259491-2, Fax (210) 7259490 Owner/Manager: Ch. Panagiotopoulos Member of: HATTA, HAPCO, EFAPCO, SITE, GITO, SKAL. GDS: Worldspan E-mail: info@lagreca-travel.com Web site: www.lagreca-travel.com 
LARA TRAVEL|||||25, Chalkokondyli  Street, 104 32 Athens Tel (210) 5237128, 5237593, Fax (210) 5237556 Owner/Manager: Mrs Kali Rapti Member of: IATA (code 27-0 0110), HATTA, GITO GDS: Galileo 
LASER TRAVEL & SCHOOL SERVICES|||||7, Ermou Street, 105 63 Athens Tel (210) 3224111, 3224288-9, 3225150, Fax (210) 3225151 Owners: E. & V. Vamvouras, Manager: E. Vamvoura Member of: IATA (code 27-0 0060), AGTO, HATTA, GDS: Sabre 
LEAD SA|||||10, Rethymnou St., 106 82 Athens, Tel 2103310323, Fax 2103234548 Manager: Michalis Tsoukias Member of: HATTA 
LETO TRAVEL SERVICE|||||24, Patission St., 106 77 Athens Tel (210) 3838300, Fax (210) 3842838 Owners: G. Zachariadis, A. Karamaghiolas Managing Director: A. Karamaghiolas Member of: IATA (code 27-2 3549) GDS: Sabre, Amadeus E-mail: patission@letotravelservice.gr Branch office: 4, Filellinon Street, 105 57 Athens Tel (210) 3230765, Fax (210) 3230769 Member of: IATA (code 27-2 7037), GUATA/PETAGA, PAT, HATTA GDS: Sabre, Amadeus
LIAISON TOURS|||||12, Lykavitou & Solonos Street, 106 73 Athens Tel (210) 3615758, Fax (210) 3615622 Manager: Anna Dagianda Member of: HATTA 
LIFE STYLE TRAVEL|||||47, Protopappa Street, 163 42 Helioupolis Tel (210) 9938642, Fax (210) 9938657 Owner/Manager: Ioannis Papatheodorou Member of: IATA (code 27-0 0836) 
LINAKI TRAVEL SYSTEM|||||8, Fokionos St., 105 63 Athens, Tel (210) 3248522, Fax (210) 3252625 Owners: S. Linakis & Co., Vat Reg No: 093576826, DOY: E’ ATHINON Manager: Stelios Linakis 
LIOLIOS VASILIOS|||||18A, Plapouta Street, 141 22 N. Heraklion Tel (210) 2815904, 2852189, 2852013, Fax (210) 2824669 Owners: Nikolaos Liolios 
LIVANIS PROFESSIONAL CONGRESS ORGANIZERS|||||7, Alkamonos & 8 Sisini Street, 115 28 Athens Tel (210) 7209500, Fax (210) 7220018 Manager: Dimitris Arvanitis Member of: HATTA 
L.K. TRAVEL|||||34, Filellinon Street, 105 58 Athens, Tel (210) 3251090, 3251092, 3251095, Fax (210) 3251076 Manager: Ms Evaggelia Kalaitzi Member of: HATTA 
L’OCEANE|||||65, Panepistimiou Avenue, 105 64 Athens Tel (210) 3212097, 3313962, Fax (210) 3311167 Owner/Manager Mrs Mary Leonidakou & Kon. Leonidakos Member of: HATTA
LOVE ISLAND TRAVEL HELLAS|||||134, 3rd September Street, 112 51 Athens Tel (210) 8820101, Fax (210) 8820114 Member of: IATA (code 27-2 1194) Owner/Manager: Alexandros Papas
LUCKY WAY TRAVEL|||||Ticket Service: 18, 3rd September Street, 104 32 Athens Tel (210) 5231106, 5231464, Fax (210) 5235852 Owners: Ms Stavroula & Ekaterini Economou, Manager: Ms Ekaterini Economou Organized Tours and Bus Service:  24-26, Chalkokondyli Street,104 32 Athens Tel (210) 5237263, 5224514, 5235809, Fax (210) 5235852 Member of: IATA (code 27-2 1055) 
LUXURY TOURS|||||89, Kalirois Ave., 117 45 Athens Tel (210) 9229511-14, 9238011, Fax (210) 9247145, Tlx 215275 Owner/Manager: E. Vassiliades Member of: HATTA, ASTA E-mail: andys@andystours.gr
LUZI TOURS|||||11, Kolokotroni St., 105 62 Athens, Tel (210) 3228415, Fax (210) 3228427 VAT 043617583, H’ ATHENS Owner:  G. Louzis – E. Dariou 
MACRO TRAVEL|||||27, Larissis Street, 115 23 Athens, Tel: (210) 6921226,  Fax: 210-6984276 Member of: IATA (code 27-0 0566) 
MAGIC TRAVEL Ltd|||||33, Nikis Street,  105 57 Athens Tel (210) 3237471-4, Fax (210) 3220219 Owner/Manager: Mrs Vendelogt GDS: Sabre 
MANESSIS|||||4, Filellinon St., 105 57 Athens, Tel (210) 3290100, Fax (210) 3224828 Owner: Andreas Manessis, Manager: Panos Pournaras Member of: HATTA, IATA (code 27-2 1081), GDS: Worldspan 
MANIATAKOS TOURS|||||14, Xenofontos Street, 105 57 Athens, Tel (210) 3221611, Fax (210) 3233111 Owner/Manager: Demetrios Maniatakos
